trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1154358852		1154358852.sql	2006-07-31 15:14:12	0	0	0		56		709	56	0	709	0	0	0	0	0			709	0	0	709	0	709	
1	1154698901	1154358852.sql	1154698901.sql	2006-08-04 13:41:41	3	1	1	56	56	709	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	1156863525	1154698901.sql	1156863525.sql	2006-08-29 14:58:45	28	1	1	56	55	709	703	0	1	0	6	0	0	0	0	-1	-6	0	6	0	0	6	6	
3	1159353929	1156863525.sql	1159353929.sql	2006-09-27 10:45:29	57	1	2	55	57	703	716	2	0	12	0	1	0	0	0	2	13	13	0	0	13	0	13	
4	1159354265	1159353929.sql	1159354265.sql	2006-09-27 10:51:05	57	1	2	57	57	716	716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1159361402	1159354265.sql	1159361402.sql	2006-09-27 12:50:02	57	1	2	57	57	716	716	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	3	
6	1159373801	1159361402.sql	1159373801.sql	2006-09-27 16:16:41	58	1	2	57	57	716	716	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	
7	1159376519	1159373801.sql	1159376519.sql	2006-09-27 17:01:59	58	1	2	57	57	716	716	0	0	0	0	0	0	9	0	0	0	0	0	9	0	9	9	
8	1160658876	1159376519.sql	1160658876.sql	2006-10-12 13:14:36	72	1	3	57	57	716	716	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
9	1161079386	1160658876.sql	1161079386.sql	2006-10-17 10:03:06	77	1	3	57	57	716	716	0	0	0	0	6	6	0	0	0	0	6	6	0	6	6	12	
10	1161808009	1161079386.sql	1161808009.sql	2006-10-25 20:26:49	86	1	3	57	57	716	716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	1162236613	1161808009.sql	1162236613.sql	2006-10-30 19:30:13	91	1	3	57	57	716	718	0	0	0	0	3	1	0	0	0	2	3	1	0	3	1	4	
12	1162894383	1162236613.sql	1162894383.sql	2006-11-07 10:13:03	98	1	4	57	58	718	732	1	0	14	0	0	0	0	0	1	14	14	0	0	14	0	14	
13	1162912964	1162894383.sql	1162912964.sql	2006-11-07 15:22:44	99	1	4	58	58	732	732	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
14	1171279747	1162912964.sql	1171279747.sql	2007-02-12 11:29:07	195	1	7	58	58	732	732	0	0	0	0	0	0	20	0	0	0	0	0	20	0	20	20	
15	1171631858	1171279747.sql	1171631858.sql	2007-02-16 13:17:38	199	1	7	58	58	732	732	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
16	1173192959	1171631858.sql	1173192959.sql	2007-03-06 14:55:59	217	1	8	58	58	732	732	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
