trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	rev_1.01		rev_1.01.sql		-1	-1	-1	0	6	0	34	6	0	34	0	0	0	0	0	0	0	34	0	0	34	0	34	1	0	1
1	rev_1.02	rev_1.01.sql	rev_1.02.sql		-1	-1	-1	6	6	34	39	0	0	0	0	6	1	0	0	0	5	6	1	0	6	1	7	0	1	1
2	rev_1.03	rev_1.02.sql	rev_1.03.sql		-1	-1	-1	6	4	39	34	0	2	0	10	6	1	4	0	-2	-5	6	11	4	6	15	21	1	0	1
3	rev_1.04	rev_1.03.sql	rev_1.04.sql		-1	-1	-1	4	4	34	35	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
4	rev_1.05	rev_1.04.sql	rev_1.05.sql		-1	-1	-1	4	4	35	38	0	0	0	0	3	0	2	0	0	3	3	0	2	3	2	5	0	1	1
5	rev_1.06	rev_1.05.sql	rev_1.06.sql		-1	-1	-1	4	4	38	38	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
6	rev_1.07	rev_1.06.sql	rev_1.07.sql		-1	-1	-1	4	4	38	40	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2	0	1	1
7	rev_1.08	rev_1.07.sql	rev_1.08.sql		-1	-1	-1	4	8	40	59	4	0	21	0	8	10	0	1	4	19	29	10	1	29	11	40	1	0	1
8	rev_1.09	rev_1.08.sql	rev_1.09.sql		-1	-1	-1	8	8	59	59	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
9	rev_1.10	rev_1.09.sql	rev_1.10.sql		-1	-1	-1	8	8	59	60	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
10	rev_1.11	rev_1.10.sql	rev_1.11.sql		-1	-1	-1	8	8	60	60	0	0	0	0	0	0	4	0	0	0	0	0	4	0	4	4	0	1	1
11	rev_1.12	rev_1.11.sql	rev_1.12.sql		-1	-1	-1	8	8	60	60	0	0	0	0	0	0	4	0	0	0	0	0	4	0	4	4	0	1	1
12	rev_1.13	rev_1.12.sql	rev_1.13.sql		-1	-1	-1	8	8	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	rev_1.14	rev_1.13.sql	rev_1.14.sql		-1	-1	-1	8	8	60	61	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
14	rev_1.15	rev_1.14.sql	rev_1.15.sql		-1	-1	-1	8	9	61	63	1	0	2	0	0	0	0	0	1	2	2	0	0	2	0	2	0	1	1
15	rev_1.16	rev_1.15.sql	rev_1.16.sql		-1	-1	-1	9	9	63	63	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	1	1
16	rev_1.17	rev_1.16.sql	rev_1.17.sql		-1	-1	-1	9	10	63	71	1	0	8	0	0	0	0	0	1	8	8	0	0	8	0	8	0	1	1
